Tc_full-no_duplicates,Tc_full
1523,2722
1524,2723
1525,2724
1526,2725
1527,2726
1528,2727
1529,2728
1530,2729
1531,2730
1532,2731
1533,2732
1534,2733
1535,2734
1536,2735
1537,2736
1538,2737
1539,2738
1540,2739
1541,2740
1542,2741
1543,2742
1544,2743
1545,2744
1546,2745
1547,2746
1548,2747
1549,2748
1550,2749
1551,2750
1552,2751
1553,2752
1554,2753
1555,2754
1556,2755
1557,2756
1558,2757
1559,2758
1560,2759
1561,2760
1562,2761
1563,2762
1564,2763
1565,2764
1566,2765
1567,2766
1568,2767
1569,2768
1570,2769
1571,2770
1572,2771
1573,2772
1574,2773
1575,2774
1576,2775
1577,2776
1578,2777
1579,2778
1580,2779
1581,2780
1582,2781
1583,2782
1584,2783
1585,2784
1586,2785
1587,2786
1588,2787
1589,2788
1590,2789
1591,2790
1592,2791
1593,2792
1594,2793
1595,2794
1596,2795
1597,2796
1598,2797
1599,2798
1600,2799
1601,2800
1602,2801
1603,2802
1604,2803
1605,2804
1606,2805
1607,2806
1608,2807
1609,2808
1610,2809
1611,2810
1612,2811
1613,2812
1614,2813
1615,2814
1616,2815
1617,2816
1618,2817
1619,2818
1620,2819
1621,2820
1622,2821
1623,2822
1624,2823
1625,2824
1626,2825
1627,2826
1628,2827
1629,2828
1630,2829
1631,2830
1632,2831
1633,2832
1634,2833
1635,2834
1636,2835
1637,2836
1638,2837
1639,2838
1640,2839
1641,2840
1642,2841
1643,2842
1644,2843
1645,2844
1646,2845
1647,2846
1648,2847
1649,2848
1650,2849
1651,2850
1652,2851
1653,2852
1654,2853
1655,2854
1656,2855
1657,2856
1658,2857
1659,2858
1660,2859
1661,2860
1662,2861
1663,2862
1664,2863
1665,2864
1666,2865
1667,2866
1668,2867
1669,2868
1670,2869
1671,2870
1672,2871
1673,2872
1674,2873
1675,2874
1676,2875
1677,2876
1678,2877
1679,2878
1680,2879
1681,2880
1682,2881
1683,2882
1684,2883
1685,2884
1686,2885
1687,2886
1688,2887
1689,2888
1690,2889
1691,2890
1692,2891
1693,2892
1694,2893
1695,2894
1696,2895
1697,2896
1698,2897
1699,2898
1700,2899
1701,2900
1702,2901
1703,2902
1704,2903
1705,2904
1706,2905
1707,2906
1708,2907
1709,2908
1710,2909
1711,2910
